question,answer,contexts,contexts_ids,ground_truth,goldPassages,Correct,CR,Faithfulness,AR
What is the implication of histone lysine methylation in medulloblastoma?,"The implication of histone lysine methylation in medulloblastoma is that it may play a role in the development of Group 3 and Group 4 tumors. Specifically, trimethylated H3K27 (H3K27me"," Context:  Recent studies showed frequent mutations in histone H3 lysine 27 (H3K27)  demethylases in medulloblastomas of Group 3 and Group 4, suggesting a role for  H3K27 methylation in these tumors. Indeed, trimethylated H3K27 (H3K27me3) levels were shown to be higher in Group 3 and 4 tumors compared to WNT and SHH  medulloblastomas, also in tumors without detectable mutations in demethylases.  Here, we report that polycomb genes, required for H3K27 methylation, are consistently upregulated in Group 3 and 4 tumors. These tumors show high  expression of the homeobox transcription factor OTX2. Silencing of OTX2 in D425  medulloblastoma cells resulted in downregulation of polycomb genes such as EZH2,  ,  Context: cell lines, primary tumours and the normal cerebellum. Gene-specific TSG  methylation was a significant feature of both medulloblastomas and the  cerebellum. Extensive hypermethylation of RASSF1A was detected frequently in  medulloblastomas but not in the normal cerebellum (41/44 primary tumours versus  0/5 normal cerebella). In contrast, complete methylation of HIC1 and CASP8 in a  subset of primary tumours (17/44 and 14/39) occurred against a consistent  background of partial methylation in the normal cerebellum. These data therefore  indicate that extensive methylation of RASSF1A, HIC1 and CASP8 are  tumour-specific events in medulloblastoma. Moreover, methylation of these genes in medulloblastoma cell lines was associated with their epigenetic  transcriptional silencing and methylation-dependent re-expression following  treatment with the DNA methyltransferase inhibitor, 5-aza-2'-deoxycytidine. The remaining genes studied showed either low frequency methylation (p14(ARF),  p16(INK4a), RIZ1; <7% of cases), no evidence of methylation (p15(INK4b), TIMP3,  TP73, TSLC1), or comparable patterns of methylation in the normal cerebellum  ","23179372, 14688019","Aberrant patterns of H3K4, H3K9, and H3K27 histone lysine methylation were shown to result in histone code alterations, which induce changes in gene expression, and affect the proliferation rate of cells in medulloblastoma.","23179372, 19270706, 23184418",1.0,[1. 0.],[1. 0.],0.0
What is the role of STAG1/STAG2 proteins in differentiation?,"The text does not mention the role of STAG1/STAG2 proteins in differentiation. It only discusses their involvement in cancer, specifically as tumour suppressors and potential therapeutic targets."," Context: Cohesin is a multi-protein complex that tethers sister chromatids during mitosis  and mediates DNA repair, genome compartmentalisation and regulation of gene  expression. Cohesin subunits frequently acquire cancer loss-of-function  alterations and act as tumour suppressors in several tumour types. This has led  to increased interest in cohesin as potential target in anti-cancer therapy.  Here we show that the loss-of-function of STAG2, a core component of cohesin and  an emerging tumour suppressor, leads to synthetic dependency of mutated cancer  cells on its paralog STAG1. STAG1 and STAG2 share high sequence identity, encode  mutually exclusive cohesin subunits and retain partially overlapping functions. We inhibited STAG1 and STAG2 in several cancer cell lines where the two genes  have variable mutation and copy number status. In all cases, we observed that  the simultaneous blocking of STAG1 and STAG2 significantly reduces cell proliferation. We further confirmed the synthetic lethal interaction developing  a vector-free CRISPR system to induce STAG1/STAG2 double gene knockout. We  provide strong evidence that STAG1 is a promising therapeutic target in cancers  ,  Context: Cohesin is a multi-protein complex that tethers sister chromatids during mitosis  and mediates DNA repair, genome compartmentalisation and regulation of gene  expression. Cohesin subunits frequently acquire cancer loss-of-function  alterations and act as tumour suppressors in several tumour types. This has led  to increased interest in cohesin as potential target in anti-cancer therapy.  Here we show that the loss-of-function of STAG2, a core component of cohesin and  an emerging tumour suppressor, leads to synthetic dependency of mutated cancer  cells on its paralog STAG1. STAG1 and STAG2 share high sequence identity, encode  mutually exclusive cohesin subunits and retain partially overlapping functions. We inhibited STAG1 and STAG2 in several cancer cell lines where the two genes  have variable mutation and copy number status. In all cases, we observed that  the simultaneous blocking of STAG1 and STAG2 significantly reduces cell proliferation. We further confirmed the synthetic lethal interaction developing  a vector-free CRISPR system to induce STAG1/STAG2 double gene knockout. We  provide strong evidence that STAG1 is a promising therapeutic target in cancers  ","28430577, 28430577",STAG1/STAG2 proteins are tumour suppressor proteins that suppress cell proliferation and are essential for differentiation.,"26997282, 21589869, 19822671, 29867216, 15361841, 28430577, 27298259, 12034751, 18276799",0.0,[0. 0.],[0. 0.],1.0
What is the association between cell phone use and glioblastoma?,"There is no mention of glioblastoma in the provided context. However, it does mention that previous studies have shown a consistent association between long-term use of mobile and cordless phones and glioma (a type of brain tumor)."," Context:  Previous studies have shown a consistent association between long-term use of  mobile and cordless phones and glioma and acoustic neuroma, but not for  meningioma. When used these phones emit radiofrequency electromagnetic fields (RF-EMFs) and the brain is the main target organ for the handheld phone. The  International Agency for Research on Cancer (IARC) classified in May, 2011  RF-EMF as a group 2B, i.e. a 'possible' human carcinogen. The aim of this study was to further explore the relationship between especially long-term (>10 years)  use of wireless phones and the development of malignant brain tumours. We  conducted a new case-control study of brain tumour cases of both genders aged  ,  Context:  Previous studies have shown a consistent association between long-term use of  mobile and cordless phones and glioma and acoustic neuroma, but not for  meningioma. When used these phones emit radiofrequency electromagnetic fields (RF-EMFs) and the brain is the main target organ for the handheld phone. The  International Agency for Research on Cancer (IARC) classified in May, 2011  RF-EMF as a group 2B, i.e. a 'possible' human carcinogen. The aim of this study was to further explore the relationship between especially long-term (>10 years)  use of wireless phones and the development of malignant brain tumours. We  conducted a new case-control study of brain tumour cases of both genders aged  ","24064953, 24064953","The association between cell phone use and incident glioblastoma remains unclear. Some studies have reported that cell phone use was associated with incident glioblastoma, and with reduced survival of patients diagnosed with glioblastoma. However, other studies have repeatedly replicated to find an association between cell phone use and glioblastoma.","20215713, 17851009, 22882019, 12527940, 24348390, 19126439, 23095687, 14648713, 19261451, 17902192, 16804530, 18941554, 23261330, 10375602, 19494549, 24064953, 16570042",0.0,[0. 0.],[1. 0.],0.0
What is the applicability of the No Promoter Left Behind method?,"The No Promoter Left Behind (NPLB) method is organism-independent, meaning it can be applied to any organism. It characterizes diverse promoter architectures directly from experimentally identified genome-wide transcription start sites (TSSs), without relying on known"," Context: Promoters have diverse regulatory architectures and thus activate genes  differently. For example, some have a TATA-box, many others do not. Even the  ones with it can differ in its position relative to the transcription start site  (TSS). No Promoter Left Behind (NPLB) is an efficient, organism-independent  method for characterizing such diverse architectures directly from  experimentally identified genome-wide TSSs, without relying on known promoter elements. As a test case, we show its application in identifying novel  architectures in the fly genome. AVAILABILITY AND IMPLEMENTATION: Web-server at http://nplb.ncl.res.in Standalone also at https://github.com/computationalBiology/NPLB/ (Mac OSX/Linux). CONTACT: l.narlikar@ncl.res.in SUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics  online.  ,  Context: Promoters have diverse regulatory architectures and thus activate genes  differently. For example, some have a TATA-box, many others do not. Even the  ones with it can differ in its position relative to the transcription start site  (TSS). No Promoter Left Behind (NPLB) is an efficient, organism-independent  method for characterizing such diverse architectures directly from  experimentally identified genome-wide TSSs, without relying on known promoter elements. As a test case, we show its application in identifying novel  architectures in the fly genome. AVAILABILITY AND IMPLEMENTATION: Web-server at http://nplb.ncl.res.in Standalone also at https://github.com/computationalBiology/NPLB/ (Mac OSX/Linux). CONTACT: l.narlikar@ncl.res.in SUPPLEMENTARY INFORMATION: Supplementary data are available at Bioinformatics  online.  ","26530723, 26530723","No Promoter Left Behind (NPLB) is an efficient, organism-independent method for characterizing promoter architectures directly from experimentally identified genome-wide TSSs, without relying on known promoter elements.",26530723,1.0,[1. 1.],[1. 1.],0.0
Does the Oncotype DX test work with paraffin embedded tissues?,"No, there is no mention of the Oncotype DX test in the provided context. However, it is mentioned that the cobas 4800 BRAF V600 Mutation Test and the assays for detecting KRAS and BRAF mutations can be applied to"," Context: Melanomas frequently harbor BRAFV600 mutations. Vemurafenib (RG7204/PLX4032), a  small-molecule inhibitor of mutant BRAF, has shown striking clinical efficacy in  BRAFV600 mutant melanoma, creating the need for a well-validated companion  diagnostic to select patients for treatment. We describe analytic performance  characteristics of the cobas 4800 BRAF V600 Mutation Test, the test used to  select patients for the pivotal vemurafenib trials. This real-time polymerase  chain reaction assay was designed to detect the V600E (1799T>A) mutation DNA  from formalin-fixed paraffin-embedded tissue samples. Sensitivity was assessed  using blends of cell lines or tumor DNA, and tumor specimens with low levels of mutant alleles, as determined by 454 sequencing (a quantitative next-generation  pyrosequencing method). A >96% hit rate was obtained across all specimen types  with 5% mutant alleles at a DNA input of 125 ng, an amount readily obtained from one 5-μm section. The cobas test showed a higher sensitivity and specificity  than direct bidirectional sequencing in a panel of 219 melanoma specimens. Cross  reactivity with V600K and V600D was observed. Repeated testing of 5 specimens by  ,  Context: nucleotide changes within the mutation cluster at codons 12 and 13, with a  sequence output in the sense direction to facilitate results interpretation.  These assays were used to determine the mutation status in a prospective series  of 1198 sporadic colorectal cancers. The BRAF V600E mutation was detected in  13.2% of the colorectal cancers. The frequency of KRAS mutations in our cohort  was 32.4%, with G>A transitions at position 2 of codons 12 and 13 being most  prevalent. Both assays proved highly sensitive and specific when applied to  clinical specimens, and were applicable to both fresh-frozen and formalin-fixed  paraffin-embedded archival tissues. These assays would serve as a suitable platform for large-scale mutation detection in cancer specimens where the  facility for pyrosequencing is available.  ","22306669, 19430299","Yes, the Oncotype DX test works with paraffin embedded tissue.","23074401, 17039265, 18922117, 17463177, 16361546, 17140367",0.0,[0. 0.],[1. 1.],1.0
Which disease of the central nervous system is characterized by the presence of Lewy bodies?,Dementia with Lewy bodies (DLB) is characterized by the widespread distribution of Lewy bodies in virtually every brain area.," Context:  Parkinson's disease is the most common neurodegenerative movement disorder. The  motor impairments of Parkinson's disease are caused by the loss of dopaminergic  neurons in the substantia nigra and associated with the appearance of fibrillar aggregates of α-synuclein (α-syn) called Lewy bodies. Approximately 90% of α-syn  deposited in Lewy bodies is phosphorylated at serine 129 (Ser129). In contrast,  only 4% or less of total α-syn is phosphorylated at this residue in the normal brain. This suggests that the accumulation of Ser129-phosphorylated α-syn leads  to the formation of Lewy bodies and dopaminergic neurodegeneration in  Parkinson's disease. Our laboratory and others have performed experiments using  ,  Context:  Dementia with Lewy bodies (DLB), the second most frequent cause of dementia  after Alzheimer disease (AD), is characterized by the widespread distribution of  Lewy bodies in virtually every brain area. Clinically, DLB is distinguished from AD by fluctuating cognition, prominent visual hallucinations and parkinsonism,  and from Parkinson disease, by the appearance of parkinsonism within one year of  cognitive or behavioral decline. The main component of Lewy bodies is alpha-synuclein. Accumulating evidence suggests that its aggregation constitutes  one of the first steps preceding Lewy body formation, so that antiaggregation  strategies would be very useful to prevent alpha-synuclein fibril formation.  ","23314528, 18991634",Parkinson s disease (PD) is one of the most common degenerative disorders of the central nervous system that produces motor and non-motor symptoms. The majority of cases are idiopathic and characterized by the presence of Lewy bodies containing fibrillar α-synuclein  ,"25514659, 20174468, 23587141, 2085926, 23281786, 22251432, 19155272, 23531432, 24095115, 22355263, 1534893, 10986355, 24465140, 23225525, 19877240, 23979994, 24291999",0.0,[1. 1.],[1. 1.],0.0
The NoSAS Score can be used for screening of which disorders?,The NoSAS score can be used for screening Obstructive Sleep Apnea Syndrome (OSAS) in participants with Major Depressive Episode (MDE).," Context: current MDE. Using a threshold of ≥ 8 points, the NoSAS score identified OSAS in  MDE participants with a sensitivity of 0.79, a specificity of 0.66, a negative  predictive value of 0.91, and a positive predictive value of 0.41. The area  under the ROC curve was 0.72 for NoSAS, 0.66 for STOP-BANG and 0.69 for the  Berlin score (NS). LIMITATIONS: Only 44% of the PsyCoLaus participants had a polysomnography. The  studied population was mainly of Caucasian ancestry and above 40 years of age.  CONCLUSIONS: This is the first study assessing the performance of screening  tools for OSAS in MDE. The NoSAS score is a simple and efficient screening tool  for OSAS in this population, and may be a helpful instrument for clinicians.  ,  Context: current MDE. Using a threshold of ≥ 8 points, the NoSAS score identified OSAS in  MDE participants with a sensitivity of 0.79, a specificity of 0.66, a negative  predictive value of 0.91, and a positive predictive value of 0.41. The area  under the ROC curve was 0.72 for NoSAS, 0.66 for STOP-BANG and 0.69 for the  Berlin score (NS). LIMITATIONS: Only 44% of the PsyCoLaus participants had a polysomnography. The  studied population was mainly of Caucasian ancestry and above 40 years of age.  CONCLUSIONS: This is the first study assessing the performance of screening  tools for OSAS in MDE. The NoSAS score is a simple and efficient screening tool  for OSAS in this population, and may be a helpful instrument for clinicians.  ","29055261, 29055261","The NoSAS score can be used for screening of obstructive sleep apnea syndrome, Sleep-Disordered Breathing and obstructive sleep apnea-hypopnea syndrome.","31196834, 29518851, 30050090, 30220140, 33222029, 29394959, 32842224, 28064432, 32967411, 31998424, 30233849, 29789691, 29055261, 27321086",0.0,[1. 1.],[1. 1.],0.0
What species is associated with Tetrodotoxin?,Pufferfish is a species associated with Tetrodotoxin (TTX).," Context:  Tetrodotoxin (TTX) is a low molecular weight (approximately 319 Da) neurotoxin  found in a number of animal species, including pufferfish. Protection from toxin  tainted food stuffs requires rapid, sensitive, and specific diagnostic tests. An emerging technique for the detection of both proteins and nucleic acids is  Fluidic Force Discrimination (FFD) assays. This simple and rapid method  typically uses a sandwich immunoassay format labeled with micrometer-diameter beads and has the novel capability of removing nonspecifically attached beads  under controlled, fluidic conditions. This technique allows for near real-time,  multiplexed analysis at levels of detection that exceed many of the conventional  ,  Context:  Tetrodotoxin (TTX) is a low molecular weight (approximately 319 Da) neurotoxin  found in a number of animal species, including pufferfish. Protection from toxin  tainted food stuffs requires rapid, sensitive, and specific diagnostic tests. An emerging technique for the detection of both proteins and nucleic acids is  Fluidic Force Discrimination (FFD) assays. This simple and rapid method  typically uses a sandwich immunoassay format labeled with micrometer-diameter beads and has the novel capability of removing nonspecifically attached beads  under controlled, fluidic conditions. This technique allows for near real-time,  multiplexed analysis at levels of detection that exceed many of the conventional  ","20411115, 20411115","Tetrodotoxin (TTX) is a low molecular weight (approximately 319 Da) neurotoxin found in a number of animal species, including pufferfish. TTX is originally produced by marine bacteria, and pufferfish are intoxicated through the food chain that starts with the bacteria. TTX is found in warm waters, especially of the Indian and Pacific Oceans. TTX poisoning due to marine snails has recently spread through Japan, China, Taiwan, and Europe.","20637221, 22028709, 24295175, 20411115, 22163191, 20161971, 21734837, 20479966, 22688023, 23724281, 21549050, 22690139, 24279996, 22069694",1.0,[1. 1.],[1. 1.],0.0
Does a selective sweep increase genetic variation?,"No, a selective sweep reduces linked genetic variation due to strong positive selection."," Context:  A selective sweep describes the reduction of linked genetic variation due to  strong positive selection. If s is the fitness advantage of a homozygote for the  beneficial allele and h its dominance coefficient, it is usually assumed that h=1/2, i.e. the beneficial allele is co-dominant. We complement existing theory  for selective sweeps by assuming that h is any value in [0, 1]. We show that  genetic diversity patterns under selective sweeps with strength s and dominance 0 < h < 1 are similar to co-dominant sweeps with selection strength 2hs.  Moreover, we focus on the case h=0 of a completely recessive beneficial allele.  We find that the length of the sweep, i.e. the time from occurrence until  ,  Context:  A selective sweep describes the reduction of linked genetic variation due to  strong positive selection. If s is the fitness advantage of a homozygote for the  beneficial allele and h its dominance coefficient, it is usually assumed that h=1/2, i.e. the beneficial allele is co-dominant. We complement existing theory  for selective sweeps by assuming that h is any value in [0, 1]. We show that  genetic diversity patterns under selective sweeps with strength s and dominance 0 < h < 1 are similar to co-dominant sweeps with selection strength 2hs.  Moreover, we focus on the case h=0 of a completely recessive beneficial allele.  We find that the length of the sweep, i.e. the time from occurrence until  ","21076829, 21076829","Selective sweep is a phenomenon in which the fixation of strongly beneficial alleles within a population reduces genetic diversity at partially linked neutral loci. Reduced variation or deviations from neutrality, along with an excess of fixed replacement sites, are indicative of selective sweep.","18346126, 16951057, 21705748, 24126360, 20140188, 21624997, 17396267, 21385389, 16339379, 22491190, 24282552, 24465214, 24075201, 16322515, 21076829, 16367838, 22087274, 20978039, 20352120",1.0,[0. 0.],[1. 1.],0.0
List markers for autophagy.,"Marker genes and proteins involved in autophagy-related processes can be detected by methods such as quantitative real-time PCR (qRT-PCR) and immunohistochemistry. However, specific markers for autophagy are not explicitly listed in the provided information"," Context: Autophagy is important in cellular homeostasis for the cell survival mechanism.  Deficiency or excess of autophagy is generally related to some of diseases such  as cancer and neurodegeneration. Although autophagy is a cell survival  mechanism, it can mediate programmed cell death in several conditions.  Autophagy-related genes (ATGs) regulate the autophagy and also control the  crosstalk with autophagy-associated cell death and apoptosis in some condition.  Various methods have been used to detect the marker genes and the proteins  involved in these processes. Quantitative real-time PCR (qRT-PCR) method for  monitoring the expression of genes involved in autophagy or autophagic cell death is often preferred because of its sensitivity, high efficiency potential,  accurate quantification, and high-grade potential automation. The detection of  the markers for autophagy-related process by immunohistochemistry in paraffin sections of various patient tissues has become a reliable method for monitoring  autophagy. Here, we introduce protocols for detecting autophagy and  autophagy-associated cell death in HeLa cells by using gene expression assays  ,  Context: Autophagy is important in cellular homeostasis for the cell survival mechanism.  Deficiency or excess of autophagy is generally related to some of diseases such  as cancer and neurodegeneration. Although autophagy is a cell survival  mechanism, it can mediate programmed cell death in several conditions.  Autophagy-related genes (ATGs) regulate the autophagy and also control the  crosstalk with autophagy-associated cell death and apoptosis in some condition.  Various methods have been used to detect the marker genes and the proteins  involved in these processes. Quantitative real-time PCR (qRT-PCR) method for  monitoring the expression of genes involved in autophagy or autophagic cell death is often preferred because of its sensitivity, high efficiency potential,  accurate quantification, and high-grade potential automation. The detection of  the markers for autophagy-related process by immunohistochemistry in paraffin sections of various patient tissues has become a reliable method for monitoring  autophagy. Here, we introduce protocols for detecting autophagy and  autophagy-associated cell death in HeLa cells by using gene expression assays  ","28889353, 28889353",Expression of LC3-II and BECN1 as well as SQSTM1 are used as markers of autophagy activity.,"23182945, 23626658, 23598404, 22807527, 24255881, 23117929, 23437259, 24231340, 23940944, 24291536, 23727153, 23737395, 22652752, 23822101, 24141623, 23608825, 23193914, 24126619",0.0,[1. 1.],[1. 1.],1.0
